id_municipio,ano,ideb
3500105,2005,4.6
3500105,2019,5.2
3500105,2019,4.9
3500105,2005,4.9
3500105,2019,6.8
3500105,2005,4.6
3500105,2019,5.2
3500105,2005,4.9
3500105,2019,6.8
3500105,2019,4.9
3500204,2019,4.1
3500204,2005,3.7
3500204,2019,4.9
3500204,2005,4.7
3500204,2019,6.4
3500204,2005,3.7
3500204,2019,4.9
3500204,2005,4.7
3500204,2019,6.4
3500204,2019,4.1
3500303,2005,
3500303,2019,5
3500303,2005,5.3
3500303,2019,6.3
3500303,2019,4.7
3500303,2005,
3500303,2019,5.9
3500303,2005,
3500303,2019,6.2
3500303,2005,
3500303,2019,5.2
3500303,2005,4.6
3500303,2019,6.2
3500303,2019,4.7
3500402,2005,5.3
3500402,2019,5.9
3500402,2019,4.6
3500402,2005,
3500402,2019,6.6
3500402,2005,5.3
3500402,2019,5.9
3500402,2005,
3500402,2019,6.6
3500402,2019,4.6
3500501,2005,4.4
3500501,2019,5.6
3500501,2005,5.2
3500501,2019,6.8
3500501,2019,5
3500501,2005,4
3500501,2019,5.1
3500501,2005,4.5
3500501,2019,6.5
3500501,2005,4.3
3500501,2019,5.2
3500501,2005,4.9
3500501,2019,6.5
3500501,2019,5
3500550,2005,4.4
3500550,2019,5.8
3500550,2019,
3500550,2005,5.2
3500550,2019,6.9
3500550,2005,4.4
3500550,2019,5.8
3500550,2005,5.2
3500550,2019,6.9
3500550,2019,
3500600,2019,4.9
3500600,2005,4.3
3500600,2019,6.3
3500600,2005,4.8
3500600,2019,7.4
3500600,2005,4.3
3500600,2019,6.3
3500600,2005,4.8
3500600,2019,7.4
3500600,2019,4.9
3500709,2005,4.3
3500709,2019,5.1
3500709,2005,3.6
3500709,2019,
3500709,2019,4.5
3500709,2005,4.5
3500709,2019,6.5
3500709,2005,4.3
3500709,2019,5.1
3500709,2005,4.3
3500709,2019,6.5
3500709,2019,4.5
3500758,2005,3.3
3500758,2019,5.2
3500758,2019,4.6
3500758,2005,4.3
3500758,2019,6.5
3500758,2005,3.3
3500758,2019,5.2
3500758,2005,4.3
3500758,2019,6.5
3500758,2019,4.6
3500808,2005,4.4
3500808,2019,5
3500808,2005,4.1
3500808,2019,6.9
3500808,2019,4.4
3500808,2005,4.4
3500808,2019,5
3500808,2005,4.1
3500808,2019,6.9
3500808,2019,4.4
3500907,2005,3.6
3500907,2019,4.8
3500907,2019,4.8
3500907,2005,3.9
3500907,2019,6.3
3500907,2005,3.6
3500907,2019,4.8
3500907,2005,3.9
3500907,2019,6.3
3500907,2019,4.8
3501004,2005,5
3501004,2019,5.6
3501004,2019,4.3
3501004,2005,
3501004,2019,4.9
3501004,2005,
3501004,2019,6.6
3501004,2005,4.7
3501004,2019,5.3
3501004,2005,
3501004,2019,6.6
3501004,2019,4.3
3501103,2005,4.2
3501103,2019,4.6
3501103,2005,4.6
3501103,2019,
3501103,2019,4
3501103,2005,
3501103,2019,8.1
3501103,2005,4.2
3501103,2019,4.6
3501103,2005,4.6
3501103,2019,8.1
3501103,2019,4
3501152,2019,5
