id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
1400050,1991,0.306,0.101,0.574,0.496
1400100,1991,0.529,0.329,0.655,0.687
1400159,1991,0.34,0.128,0.591,0.52
1400175,1991,0.301,0.08,0.645,0.529
1400209,1991,0.405,0.175,0.645,0.588
1400233,1991,0.249,0.085,0.526,0.347
1400282,1991,0.358,0.162,0.574,0.493
1400308,1991,0.374,0.148,0.655,0.541
1400407,1991,0.278,0.097,0.526,0.421
1400456,1991,0.378,0.158,0.645,0.532
1400472,1991,0.324,0.108,0.591,0.534
1400506,1991,0.365,0.143,0.655,0.519
1400605,1991,0.348,0.115,0.645,0.57
1400704,1991,0.201,0.045,0.574,0.313
1500107,1991,0.386,0.175,0.669,0.49
1500131,1991,0.357,0.13,0.637,0.549
1500206,1991,0.254,0.058,0.631,0.45
1500305,1991,0.25,0.054,0.633,0.459
1500347,1991,0.208,0.032,0.576,0.489
1500404,1991,0.328,0.129,0.589,0.464
1500503,1991,0.395,0.153,0.693,0.581
1500602,1991,0.386,0.159,0.636,0.569
1500701,1991,0.197,0.025,0.644,0.473
1500800,1991,0.516,0.33,0.683,0.608
1500859,1991,0.25,0.066,0.607,0.391
1500909,1991,0.238,0.057,0.589,0.4
1500958,1991,0.259,0.057,0.645,0.471
1501006,1991,0.281,0.083,0.657,0.407
1501105,1991,0.241,0.057,0.576,0.424
1501204,1991,0.336,0.14,0.638,0.423
1501253,1991,0.305,0.084,0.71,0.475
1501303,1991,0.447,0.219,0.709,0.575
1501402,1991,0.562,0.371,0.71,0.674
1501451,1991,0.311,0.112,0.604,0.443
1501501,1991,0.368,0.179,0.592,0.47
1501576,1991,0.309,0.099,0.571,0.522
1501600,1991,0.241,0.057,0.556,0.442
1501709,1991,0.325,0.13,0.569,0.463
1501725,1991,0.288,0.079,0.616,0.491
1501758,1991,0.258,0.07,0.613,0.4
1501782,1991,0.293,0.081,0.604,0.513
1501808,1991,0.284,0.079,0.623,0.467
1501907,1991,0.336,0.121,0.657,0.476
1501956,1991,0.203,0.036,0.634,0.369
1502004,1991,0.324,0.114,0.645,0.462
1502103,1991,0.328,0.126,0.645,0.434
1502152,1991,0.276,0.072,0.612,0.475
1502202,1991,0.425,0.208,0.677,0.546
1502301,1991,0.279,0.084,0.577,0.447
1502400,1991,0.424,0.207,0.652,0.566
1502509,1991,0.179,0.02,0.657,0.437
1502608,1991,0.389,0.205,0.642,0.447
1502707,1991,0.371,0.15,0.639,0.532
1502756,1991,0.287,0.071,0.631,0.529
1502764,1991,0.309,0.081,0.623,0.584
1502772,1991,0.326,0.103,0.598,0.561
1502806,1991,0.229,0.044,0.56,0.489
